# r/R_[-],Alpha_[deg],Cl_[-]
1.716542000000043089e-03,4.282368358688719567e+00,4.696142400000000161e-01
1.508542999999997782e-02,4.291883299327032830e+00,4.706576699999999724e-01
4.204152800000002937e-02,4.335059953900236351e+00,4.753925199999999851e-01
8.138090399999997615e-02,4.345092483673067996e+00,4.764927099999999860e-01
1.321168979999999826e-01,4.348422161202632807e+00,4.768578500000000275e-01
1.928802119999999953e-01,4.349785528917605504e+00,4.770073599999999914e-01
2.620176680000000369e-01,4.350419384110352894e+00,4.770768699999999862e-01
3.376450480000000032e-01,4.350731889037061428e+00,4.771111399999999891e-01
4.177002360000000580e-01,4.350878976999354997e+00,4.771272699999999922e-01
5.000000000000000000e-01,4.350922382994427906e+00,4.771320299999999848e-01
5.822997639999999420e-01,4.350878976999354997e+00,4.771272699999999922e-01
6.623549520000000523e-01,4.350731889037061428e+00,4.771111399999999891e-01
7.379823319999999631e-01,4.350419384110352894e+00,4.770768699999999862e-01
8.071197879999999492e-01,4.349785528917605504e+00,4.770073599999999914e-01
8.678831020000000729e-01,4.348422161202632807e+00,4.768578500000000275e-01
9.186190960000001349e-01,4.345092483673067996e+00,4.764927099999999860e-01
9.579584719999999498e-01,4.335059953900236351e+00,4.753925199999999851e-01
9.849145700000001558e-01,4.291883299327032830e+00,4.706576699999999724e-01
9.982834579999998459e-01,4.282368358688719567e+00,4.696142400000000161e-01
