# r/R_[-],CLift_[-],Alpha_[deg],Gamma_[m^2/s],Gamma2_[m^2/s],chord_[m]
1.716542000000043089e-03,4.696142400000000161e-01,4.282368358688719567e+00,1.982463933319775565e-02,1.971544506149203527e-02,8.279119478694062229e-02
1.508542999999997782e-02,4.706576699999999724e-01,4.291883299327032830e+00,5.837531923695985642e-02,5.785382685421709692e-02,2.437856419210537307e-01
4.204152800000002937e-02,4.753925199999999851e-01,4.335059953900236351e+00,9.610892684256316931e-02,9.557538654707863068e-02,4.013678508472011131e-01
8.138090399999997615e-02,4.764927099999999860e-01,4.345092483673067996e+00,1.309423497598271313e-01,1.304324724914734668e-01,5.468383763568273048e-01
1.321168979999999826e-01,4.768578500000000275e-01,4.348422161202632807e+00,1.621664243708162423e-01,1.616367993461357844e-01,6.772356259467086081e-01
1.928802119999999953e-01,4.770073599999999914e-01,4.349785528917605504e+00,1.889574308375023270e-01,1.883915222406797318e-01,7.891196001084628264e-01
2.620176680000000369e-01,4.770768699999999862e-01,4.350419384110352894e+00,2.105908082214826837e-01,2.099873662611343172e-01,8.794644044095060176e-01
3.376450480000000032e-01,4.771111399999999891e-01,4.350731889037061428e+00,2.264783679183130505e-01,2.258441015010615172e-01,9.458136593665322778e-01
4.177002360000000580e-01,4.771272699999999922e-01,4.350878976999354997e+00,2.361874449034071788e-01,2.355332924729070243e-01,9.863604794304043910e-01
5.000000000000000000e-01,4.771320299999999848e-01,4.350922382994427906e+00,2.394534755080605370e-01,2.387924815277734925e-01,1.000000000000000000e+00
5.822997639999999420e-01,4.771272699999999922e-01,4.350878976999354997e+00,2.361874449034071788e-01,2.355332924729069133e-01,9.863604794304043910e-01
6.623549520000000523e-01,4.771111399999999891e-01,4.350731889037061428e+00,2.264783679183130505e-01,2.258441015010617114e-01,9.458136593665322778e-01
7.379823319999999631e-01,4.770768699999999862e-01,4.350419384110352894e+00,2.105908082214826837e-01,2.099873662611342617e-01,8.794644044095060176e-01
8.071197879999999492e-01,4.770073599999999914e-01,4.349785528917605504e+00,1.889574308375023270e-01,1.883915222406798151e-01,7.891196001084628264e-01
8.678831020000000729e-01,4.768578500000000275e-01,4.348422161202632807e+00,1.621664243708162423e-01,1.616367993461359509e-01,6.772356259467086081e-01
9.186190960000001349e-01,4.764927099999999860e-01,4.345092483673067996e+00,1.309423497598271313e-01,1.304324724914735778e-01,5.468383763568273048e-01
9.579584719999999498e-01,4.753925199999999851e-01,4.335059953900236351e+00,9.610892684256316931e-02,9.557538654707893599e-02,4.013678508472011131e-01
9.849145700000001558e-01,4.706576699999999724e-01,4.291883299327032830e+00,5.837531923695985642e-02,5.785382685421730509e-02,2.437856419210537307e-01
9.982834579999998459e-01,4.696142400000000161e-01,4.282368358688719567e+00,1.982463933319775565e-02,1.971544506149219139e-02,8.279119478694062229e-02
